Terminate!
aid: 0, oid: 8600, r: -1.0
aid: 0, oid: 8346, r: -1.0
aid: 1, oid: 154, r: -61.0
Terminate!
aid: 3, oid: 1301, r: -11.0
aid: 1, oid: 1301, r: -1.0
aid: 0, oid: 1301, r: -11.0
aid: 3, oid: 1301, r: -11.0
aid: 2, oid: 1301, r: -1.0
aid: 2, oid: 5649, r: -1.0
aid: 2, oid: 5268, r: -1.0
aid: 2, oid: 1809, r: -1.0
aid: 2, oid: 5141, r: 9.0
aid: 2, oid: 4633, r: 9.0
aid: 0, oid: 4633, r: -11.0
aid: 3, oid: 538, r: -1.0
aid: 2, oid: 538, r: -11.0
aid: 3, oid: 1554, r: 9.0
aid: 2, oid: 1045, r: 9.0
aid: 3, oid: 1045, r: -11.0
aid: 1, oid: 1554, r: -1.0
aid: 1, oid: 1554, r: -11.0
aid: 1, oid: 1554, r: -11.0
aid: 3, oid: 538, r: 9.0
aid: 0, oid: 1554, r: -1.0
aid: 1, oid: 1554, r: -11.0
aid: 0, oid: 538, r: -1.0
aid: 3, oid: 16914, r: -1.0
aid: 1, oid: 16914, r: -11.0
aid: 1, oid: 1554, r: -61.0
Terminate!
aid: 2, oid: 1313, r: -1.0
aid: 2, oid: 3348, r: -1.0
aid: 0, oid: 2090, r: -1.0
aid: 3, oid: 3348, r: -1.0
aid: 3, oid: 3348, r: -11.0
aid: 1, oid: 16673, r: -1.0
aid: 2, oid: 5268, r: -51.0
Terminate!
aid: 0, oid: 1301, r: -11.0
aid: 0, oid: 1301, r: -11.0
aid: 3, oid: 1301, r: -11.0
aid: 0, oid: 1301, r: -11.0
aid: 1, oid: 1301, r: -1.0
aid: 1, oid: 1809, r: -1.0
aid: 2, oid: 1301, r: -1.0
aid: 3, oid: 1301, r: -11.0
aid: 0, oid: 1301, r: -11.0
aid: 3, oid: 1301, r: -11.0
aid: 1, oid: 1809, r: -1.0
aid: 0, oid: 1809, r: -11.0
aid: 2, oid: 1301, r: -1.0
aid: 3, oid: 1301, r: -11.0
aid: 3, oid: 1301, r: -11.0
aid: 1, oid: 1809, r: -1.0
aid: 0, oid: 1809, r: -11.0
aid: 1, oid: 1300, r: -1.0
aid: 2, oid: 1809, r: -1.0
aid: 3, oid: 538, r: -1.0
aid: 0, oid: 1809, r: -1.0
aid: 0, oid: 1809, r: -11.0
aid: 1, oid: 1300, r: -1.0
aid: 0, oid: 26, r: -1.0
aid: 1, oid: 26, r: -11.0
aid: 1, oid: 2074, r: -11.0
aid: 2, oid: 2074, r: -11.0
aid: 2, oid: 2074, r: -11.0
aid: 1, oid: 26, r: -61.0
Terminate!
aid: 0, oid: 21, r: -11.0
aid: 3, oid: 21, r: -11.0
aid: 1, oid: 21, r: -1.0
aid: 3, oid: 21, r: -11.0
aid: 1, oid: 4625, r: -1.0
aid: 0, oid: 529, r: -61.0
Terminate!
aid: 2, oid: 1825, r: -1.0
aid: 3, oid: 538, r: -1.0
aid: 1, oid: 538, r: -11.0
aid: 2, oid: 538, r: -11.0
aid: 2, oid: 538, r: -11.0
aid: 0, oid: 1825, r: -1.0
aid: 0, oid: 1825, r: -11.0
aid: 0, oid: 1825, r: -11.0
